60 2955
105 15 79
70 43 47
89 29 79
115 36 74
106 13 82
83 32 61
123 71 35
107 59 35
96 86 9
95 28 72
78 66 24
90 42 53
91 45 47
91 62 31
90 57 35
108 6 90
115 28 69
126 28 79
80 44 46
109 84 23
113 30 69
91 62 34
86 75 30
84 92 1
110 89 5
112 62 36
95 97 3
91 1 91
93 27 63
99 62 47
93 77 29
110 3 90
96 70 27
96 72 20
96 27 65
104 9 98
105 62 29
120 37 68
81 97 1
83 51 39
109 44 66
83 24 73
88 79 13
81 59 31
109 32 76
104 96 7
112 88 15
112 52 43
89 62 40
91 58 33
97 52 38
116 12 92
92 39 55
107 2 91
86 3 87
108 56 45
88 81 22
108 59 33
105 2 95
100 2 88
